time_stamp, total time, scan point size, incremental time, search time, delete size, delete time, tree size st, tree size end, add point size, preprocess time
1758118316.33719993,0.21212180,12340,0.00236608,0.00000000,0,0.00000000,991,1408,495,0.00000000
1758118316.43670011,0.17594841,12348,0.00060016,0.00000000,0,0.00000000,1408,1510,118,0.00535439
1758118316.63709998,0.23319896,12389,0.00307751,0.00000000,0,0.00000000,1510,2161,841,0.00294664
1758118316.73720002,0.22028337,12367,0.00175799,0.00000000,0,0.00000000,2161,2535,490,0.00241369
1758118316.83719993,0.18537354,12348,0.00028018,0.00000000,0,0.00000000,2535,2608,84,0.00389875
1758118316.93720007,0.19566040,12373,0.00040568,0.00000000,0,0.00000000,2608,2660,74,0.00225728
1758118317.03710008,0.19916918,12370,0.00034096,0.00000000,0,0.00000000,2660,2712,70,0.00256540
1758118317.13720012,0.28657697,12357,0.00498393,0.00000000,0,0.00000000,2712,3409,959,0.00252037
1758118317.23720002,0.20814975,12371,0.00082605,0.00000000,0,0.00000000,3409,3486,158,0.00300306
1758118317.43720007,0.19959854,12346,0.00036188,0.00000000,0,0.00000000,3486,3537,65,0.00214526
1758118317.53740001,0.23917057,12375,0.00245302,0.00000000,0,0.00000000,3537,3809,352,0.00234547
1758118317.63720012,0.28188273,12356,0.00326823,0.00000000,0,0.00000000,3809,4175,523,0.00234030
1758118317.73779988,0.20202316,12344,0.00039118,0.00000000,0,0.00000000,4175,4219,55,0.00236848
1758118317.83730006,0.20946647,12364,0.00073217,0.00000000,0,0.00000000,4219,4058,54,0.00198354
1758118317.93709993,0.27327633,12367,0.00167980,0.00000000,0,0.00000000,4058,4392,421,0.00269809
1758118318.03710008,0.30547390,12356,0.00240998,0.00000000,0,0.00000000,4392,4793,522,0.00272902
1758118318.13730001,0.22802584,12376,0.00216257,0.00000000,0,0.00000000,4793,4741,189,0.00243506
1758118318.23709989,0.31773176,12368,0.00160827,0.00000000,0,0.00000000,4741,5045,388,0.00221866
1758118318.33649993,0.27136343,12331,0.00157957,0.00000000,0,0.00000000,5045,5278,348,0.00175746
1758118318.43700004,0.25622812,12377,0.00124174,0.00000000,0,0.00000000,5278,5495,304,0.00180240
1758118318.53679991,0.21160113,12376,0.00027989,0.00000000,0,0.00000000,5495,5531,48,0.00184598
1758118318.63680005,0.22390557,12347,0.00057764,0.00000000,0,0.00000000,5531,5563,47,0.00191055
1758118318.73679996,0.26251258,12341,0.00169142,0.00000000,0,0.00000000,5563,5699,248,0.00229107
1758118318.83640003,0.20140136,12376,0.00026388,0.00000000,0,0.00000000,5699,5719,27,0.00209336
1758118318.93650007,0.32198545,12353,0.00230490,0.00000000,0,0.00000000,5719,5890,330,0.00246305
1758118319.03690004,0.27225566,12387,0.00250816,0.00000000,0,0.00000000,5890,6011,279,0.00208238
1758118319.23699999,0.21213388,12347,0.00034130,0.00000000,0,0.00000000,6011,6028,36,0.00200022
1758118319.33699989,0.21346781,12344,0.00032492,0.00000000,0,0.00000000,6028,6053,40,0.00257637
1758118319.43700004,0.29475816,12374,0.00190834,0.00000000,0,0.00000000,6053,6209,310,0.00245403
